UNIQUE_ID,REPONAME,ISSUE_TYPE,FILE_PATH,LINT_MSG,LHDIFF_LINE_TRACING,START_COMMIT_ID,START_COMMIT_MSG,START_COMMIT_TIMESTAMP,END_COMMIT_ID,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP,CATEOGARY,ISSUE_STATUS,ISSUE_SURVIVED_TIME,DEDICATED_RESOLUTION,NO_OF_LINES_CHANGED
800295,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2527]SoundNameDrawing soundNameDrawing = new SoundNameDrawing(sound); ->[2527]SoundNameDrawing soundNameDrawing = new SoundNameDrawing(sound);,2aae956,Boarder 0.10,1336160518,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,22539721,0,170
800296,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2510]Paint barPaint = new Paint(); ->[2510]Paint barPaint = new Paint();,2aae956,Boarder 0.10,1336160518,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,22539721,0,170
800298,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2493]Paint bgImage = new Paint();  ->[2493]Paint bgImage = new Paint();,2aae956,Boarder 0.10,1336160518,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,22539721,0,170
800299,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2489]RectF bitmapRect = new RectF(); ->[2489]RectF bitmapRect = new RectF();,2aae956,Boarder 0.10,1336160518,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,22539721,0,170
800301,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2500]mGsb.setBackgroundImage(BitmapFactory.decodeResource(getResources() R.drawable.sound)); ->[2500]mGsb.setBackgroundImage(BitmapFactory.decodeResource(getResources() R.drawable.sound));,a512e39,Added a custom bitmap decoder to avoid and improve memory errors with enormous images and large amount of huge images. Improved editor destroying to avoid crashes.,1339625297,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,19074942,0,170
800305,Mikuz/Boarder,DrawAllocation,src/fi/mikuz/boarder/gui/BoardEditor.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[2505]ArrayList<GraphicalSound> drawList = new ArrayList<GraphicalSound>(); ->[2505]ArrayList<GraphicalSound> drawList = new ArrayList<GraphicalSound>();,e18944e,Responsive joystick. Smoother joystick image.,1357523337,8b11d3b,Moved pagination to separate class. Fixed page moving affecting both orientations.,1358692029,9dec49e,Moved page drawing to separate class.,1358700239,Media & Video,0,1176902,0,170
810594,grchld/rftg-scorer,DrawAllocation,src/org/rftg/scorer/UserInterfaceView.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[61]Paint paint = new Paint();      ->DEL,6529afd,Prepared samples,1384651849,6529afd,Prepared samples,1384651849,341188c,Redrawing interface,1384734286,Entertainment,0,82437,1,61
800127,andhikai/ferticalc,Recycle,src/de/arnowelzel/android/periodical/PeriodicalDatabase.java,This Cursor should be freed up after use with #close(),[257]Cursor result = db.rawQuery(statement null); ->[351]Cursor result = db.rawQuery(statement null);,c4dc5c2,Target version changed to API-Level 17 and updated layout to provide better support for newer Android versions (Issue #13). Detailed list now also displays the cycle lengths (Issue #14).,1356471118,539f821,Added app icon for xhdpi density and added baseline icons again (Issue #18),1364744555,8.84E+07,Implemented interactive details list (Issue #17) Bugfix: Added missing Cursor.close() to PeriodicalDatabase.loadRawData(),1364750553,Health and Fitness,0,8279435,1,25
800464,SunyataZero/KindMind,Recycle,src/com/sunyata/kindmind/Utils.java,This Cursor should be freed up after use with #close(),[158]Cursor tmpCursor = inContext.getContentResolver().query( ->[159]Cursor tmpCursor = inContext.getContentResolver().query(,76060ea,BIG COMMIT: ALL PROBLEMS WITH MARKING CHECKBOXES HAVE BEEN SOLVED. Solution by modifying the getView method in the custom adapter in ListFragmentC,1390247663,76060ea,BIG COMMIT: ALL PROBLEMS WITH MARKING CHECKBOXES HAVE BEEN SOLVED. Solution by modifying the getView method in the custom adapter in ListFragmentC,1390247663,3112149,X needs toasts X CursorWrapperInner Cursor finalized without prior close(),1390335782,Lifestyle,0,88119,1,4
800465,SunyataZero/KindMind,Recycle,src/com/sunyata/kindmind/Utils.java,This Cursor should be freed up after use with #close(),[169]tmpCursor = inContext.getContentResolver().query(tmpUri null null null null); ->[169]tmpCursor = inContext.getContentResolver().query(tmpUri null null null null);,f54714a,X alphabeta sort,1390346120,5be46f4,...,1392548231,b85c68c,Closing cursors (excepting those for loaders or adapters),1392550345,Lifestyle,0,2204225,1,4
