RepositoryGitHubName,RepositoryShortName,App,Source,Commits,AppFolder,JavaFiles,xmlFiles,Cfiles,Hfiles,PYFiles,JSFiles,LinesOfCodesJava,Contributors,FilteredPerformance,StartTimestamp,EndTimestamp,Install,Category,Release
tiltshiftfocus/Eventful,Eventful,fi.zt.timeflies,G,16,app/src/main/,11,16,0,0,0,0,1650,1,0,1418199721,1429236180, 5000-10000 ,Lifestyle,0
Vuzi/MemoryGame,MemoryGame,com.vuzi.memorygame,G,10,src/,9,17,0,0,0,0,1276,1,0,1422226025,1425259058, 10-50 ,Games,0
redlee90/6502-Emulator,6502-Emulator,com.redlee90.learn6502assembly,G,40,/,7,12,0,0,0,0,3512,1,0,1409070884,1428609758, 5000-10000 ,Education,0
tenaciousRas/android-hst-feed,android-hst-feed,com.longevitysoft.android.appwidget.hstfeed,G,14,/,25,26,0,0,0,0,4478,1,0,1412205011,1423853875, 1000-5000 ,Education,0
mslhii/findmepmt,findmepmt,com.kritikalerror.findmepmt,G,39,/,6,1,0,0,0,0,1448,1,1,1407028504,1420185200, 500-1000 ,Travel & Local,0
calren/Android_EatNow,Android_EatNow,com.caren.eatnow,G,34,circleimageview/src/main/,1,2,0,0,0,0,249,1,0,1411287402,1416724539, 50-100 ,Travel & Local,0
JohnNPhillips/PhoneToWordsAndroid,PhoneToWordsAndroid,com.ayros.phonewords,G,12,PhoneWords/,1,10,0,0,0,0,216,1,0,1374090171,1409348146, 100-500 ,Tools,0
mawis/sailtrainer,sailtrainer,eu.wimmerinformatik.sbfb,G,97,SRC-Trainer/,8,16,0,0,0,0,1356,1,0,1333915815,1451326686, 50000-100000 ,Education,0
saeedzareian/PersianDarwinWallet,PersianDarwinWallet,com.ndu.mobile.darwinwallet&amp,G,38,/,13,13,0,54,1,0,1523,3,0,1328997299,1413486860, 1000-5000 ,Productivity,4
UniversityApp/UniversityApp,UniversityApp,sk.branislavremen.universityapp,G,33,/,27,55,0,0,0,0,4418,2,0,1422623729,1429687892, 100-500 ,Education,0
Yegie/TireSize,TireSize,org.yegie.tiresize.app,G,22,app/src/main/,6,9,0,0,0,0,825,1,0,1404511295,1408993759, 1000-5000 ,Tools,1
jeremyleee/Duckie,Duckie,com.tragicfruit.duckie,G,152,app/src/main/,20,37,0,0,0,0,2332,2,0,1422711783,1453191845, 100-500 ,Games,8
Lutka/NationalAnthems,NationalAnthems,com.lutka.nationalanthems,G,47,app/src/main/,3,8,0,0,0,0,652,2,0,1418417235,1435762973, 100-500 ,Music and audio,0
AflahB/labyrinth-of-before,labyrinth-of-before,com.mongooseofbefore.Labyrinth_of_Before&amp,G,24,app/src/main/,14,6,0,0,0,0,1240,1,0,1419868085,1439375438, 10-50 ,Games,0
adq/redbus,redbus,org.redbus,G,472,/,35,24,0,0,5,0,6194,1,2,1273606194,1413130044, 100000-500000 ,Travel & Local,1
kwhite17/Nudge,Nudge,com.ksp.nudge,G,49,/,11,33,0,0,0,0,1289,1,1,1411924084,1442790623, 50-100 ,Communication,0
chris-kobrzak/lewica-pl-android,lewica-pl-android,pl.lewica.lewicapl,G,147,/,59,30,0,0,0,0,7887,1,0,1318636014,1407512005, 1000-5000 ,News & Magazines,6
Pi-Developers/Floata-Client,Floata-Client,pidevelopers.floata,G,15,/,16,36,0,0,0,0,5829,1,0,1407522165,1438620744, 1000-5000 ,Social,0
crisi/berlinclock-android-widget,berlinclock-android-widget,ch.crisi.berlinclock_widget,G,16,widget/src/main/,3,10,0,0,0,0,160,1,0,1409173779,1414271011, 500-1000 ,Lifestyle,1
MausGames/disco-rock,disco-rock,at.mausgames.dr,G,61,projects/android/project/,2,5,0,0,0,0,1813,1,0,1396718546,1452638895, 500-1000 ,Games,2
prabashbala/ServiceOnt,ServiceOnt,uk.co.balasuriya.serviceont,G,46,/,17,16,0,0,0,0,1929,2,0,1412195353,1430840964, 1000-5000 ,Lifestyle,1
asilarslan/Material-Template,Material-Template,tr.asil.arayuz2,G,10,/,6,24,0,0,0,0,1145,1,0,1422648753,1429439991, 1000-5000 ,Tools,0
edking4967/monk-vs-ninjas,monk-vs-ninjas,com.thousandonestories.game,G,21,/,41,11,0,0,0,0,5573,2,0,1408913256,1425929953, 50-100 ,Games,0
jajimenez/workpage,workpage,jajimenez.workpage,G,250,workpage/,57,39,0,0,0,0,9565,1,1,1414348555,1453741979, 50-100 ,Productivity,9
olyv/WortschatzGradle,WortschatzGradle,com.olyv.wortschatz.ui,G,93,app/src/main/,26,126,0,0,0,0,3671,1,0,1421846264,1431084880, 500-1000 ,Education,0
UCI-ABR/ABR_eDVS,ABR_eDVS,com.ftdi.j2xx.hyperterm,G,20,/,5,7,0,0,0,0,604,1,1,1405996469,1440366474, 10000-50000 ,Tools,0
abcodeworks/ShareFile-Android,ShareFile-Android,com.abcodeworks.sharefileapp,G,27,ShareFileApp/,5,8,0,0,0,0,293,1,0,1416726268,1424474896, 500-1000 ,Productivity,2
fsvieira/balance,balance,com.fsvieira.balance,G,10,balance/platforms/android/,92,10,0,0,0,44,20890,1,0,1410474553,1432562005, 500-1000 ,Games,0
dmdavids/GuildViewerApp2,GuildViewerApp2,com.skywomantechnology.app.guildviewer,G,10,app/src/main/,24,23,0,0,0,0,4401,1,0,1412547110,1449190918, 10-50 ,Entertainment,0
abcodeworks/WebShortcut-Android,WebShortcut-Android,com.abcodeworks.webshortcutapp,G,29,WebShortcutApp/,10,11,0,0,0,0,859,1,0,1416802060,1424518046, 1000-5000 ,Productivity,4
koalahamlet/kartography,kartography,mikecanco.de.kartography,G,13,app/src/main/,17,45,0,0,0,0,2493,1,0,1417393259,1431417091, 10-50 ,Lifestyle,0
Sublimis/UrgentCallFilter,UrgentCallFilter,com.sublimis.urgentcallfilter,G,10,UrgentCallFilter/,6,18,0,0,0,0,1611,1,0,1409619184,1433158329, 500-1000 ,Tools,0
hgzojer/picturetrainer,picturetrainer,at.hgz.picturetrainer,G,110,/,23,25,0,0,0,0,3225,2,0,1405256877,1410569323, 10-50 ,Education,3
ehcloninger/cgeo-gear,cgeo-gear,cgeo.geocaching,G,30,android-app/,7,9,0,0,0,0,966,1,0,1417632652,1421859415, 1000000-5000000 ,Entertainment,0
antoniy/Gidder,Gidder,net.antoniy.gidder.beta,G,106,app/src/main/,65,52,0,0,0,0,6954,2,0,1323005476,1424291531, 5000-10000 ,Tools,0
ieee8023/PDFViewer,PDFViewer,the.pdfviewerx,G,32,/,450,419,434,363,13,3,67720,2,0,1382310754,1440308832, 1000-5000 ,Productivity,0
ZlodeiBaal/Recognitor,Recognitor,org.opencv.samples.tutorial334565,G,13,/,8,8,0,0,0,0,1537,1,0,1399412252,1404269459, 1000-5000 ,Transportation,0
Odoo-mobile/messaging,messaging,com.odoo,G,721,/,162,132,0,0,0,0,29717,5,2,1377608595,1416220921, 5000-10000 ,Business,1
wisedog/WhoochooAdvSms,WhoochooAdvSms,net.wisedog.android.whooing.advsms,G,30,/,24,24,0,0,0,0,2890,2,0,1388894506,1400728609, 1000-5000 ,Finance,2
devadvance/rootcloakplus,rootcloakplus,com.devadvance.rootcloakplus,G,10,/,7,11,0,1,0,0,1562,1,0,1389600386,1398468673, 100000-500000 ,Customization,2
marcolivierarsenault/PolarHeartRateApplication,PolarHeartRateApplication,org.marco45.polarheartmonitor,G,90,/,5,13,0,0,0,0,738,1,0,1400365927,1448640357, 50000-100000 ,Health and Fitness,7
fabienbk/jack-benoit,jack-benoit,com.fbksoft.jb,G,35,jb-android/,2,4,0,0,0,0,857,1,0,1378882932,1398265216, 1000-5000 ,Games,0
screenfreeze/deskcon-android,deskcon-android,net.screenfreeze.deskcon,G,35,/,19,34,0,0,0,0,3948,1,0,1389445207,1406377434, 100-500 ,Communication,0
TomasKimer/gles3mark,gles3mark,com.tomaskimer.gles3mark,G,78,/,7,83,7,79,3,0,1044,2,0,1394711410,1406452133, 500-1000 ,Tools,0
JoshuaChing/jPlayer,jPlayer,com.jchingdev.jplayer,G,131,/,16,52,0,0,0,0,3189,2,0,1390196036,1440642448, 1000-5000 ,Music and audio,4
davidru85/OpenWeather,OpenWeather,com.davidru85.openweather,G,67,OpenWeather/,14,16,0,0,0,0,2149,2,0,1383048485,1403429782, 500-1000 ,Weather,0
EvanRespaut/Equate,Equate,com.llamacorp.equate&amp,G,230,app/src/main/,33,42,0,0,0,0,9091,1,2,1398398925,1445742968, 100-500 ,Tools,1
username115/FRCScouting,FRCScouting,org.growingstems.scouting,G,357,app/src/main/,43,47,0,0,0,0,9371,1,0,1386527121,1455383110, 500-1000 ,Education,18
rasmi/homeless-nyc,homeless-nyc,io.rasmi.homelessnyc,G,15,/,13,15,0,0,0,0,1064,1,0,1388877695,1393384785, 100-500 ,Tools,0
ksedgwic/BTCReceive,BTCReceive,com.bonsai.btcreceive,G,38,/,30,34,0,0,0,0,7339,1,2,1396394550,1398987199, 50-100 ,Productivity,0
dasaki/android_fft_minim,android_fft_minim,com.calsignlabs.apde&amp,G,14,/,2,1,0,0,0,0,999,1,0,1383811950,1426253417, 10000-50000 ,Tools,0
louffoster/BlastWords,BlastWords,com.studio332.blastwords&amp,G,14,BlastWords-android/,3,3,0,0,0,0,55,1,0,1372014568,1391479902, 100-500 ,Games,0
MikeFot/Android--iBeacon-Scanner-Service,Android--iBeacon-Scanner-Service,com.michaelfotiadis.ibeaconscanner,G,16,/,17,23,0,0,0,0,1816,2,0,1403626574,1417001839, 1000-5000 ,Tools,0
SamKnows/skandroid-fcc,skandroid-fcc,com.samknows.fcc,G,46,AndroidAppFCC/,3,40,0,0,0,0,470,1,0,1401175277,1433169295, 100000-500000 ,Communication,12
ThibaudM/timelapse-sony,timelapse-sony,com.thibaudperso.sonycamera,G,63,app/src/main/,28,36,0,0,0,0,3812,1,0,1387697311,1455744236, 100000-500000 ,Media & Video,0
PhaniGaddipati/Stacks-Flashcards,Stacks-Flashcards,org.centum.android.stack&amp,G,12,src/main/,93,69,0,0,0,0,16502,2,0,1396239026,1447800925, 50000-100000 ,Education,0
davidru85/CarLocator,CarLocator,com.davidru85.carlocator,G,47,CarLocator/,12,18,0,0,0,0,1001,1,0,1388263794,1394125625, 10-50 ,Tools,0
takoli/RegExGen,RegExGen,net.takoli.regexgen,G,25,/,5,22,0,0,0,0,1113,1,0,1387747029,1401668553, 10000-50000 ,Productivity,0
jmgjmg/MSMBle,MSMBle,com.tumaku.msmble,G,17,/,11,15,0,0,0,0,3489,1,0,1394022405,1409247464, 1000-5000 ,Lifestyle,0
busradar/busradar,busradar,busradar.madison,G,68,android-project/,42,8,0,0,0,0,4743,3,0,1300943790,1441351256, 10000-50000 ,Travel & Local,0
